work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Senior Level,Full Time,Data Science Consultant,122000,USD,122000,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,148000,USD,148000,US,0,US,Medium
2022,Senior Level,Full Time,Data Engineer,161000,USD,161000,US,100,US,Medium
2024,Senior Level,Full Time,Data Analyst,150000,USD,150000,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,146000,USD,146000,US,0,US,Medium
2024,Senior Level,Full Time,Business Intelligence,120000,USD,120000,US,100,US,Medium
2022,Senior Level,Full Time,Ml Engineer,240000,USD,240000,US,0,US,Medium
2023,Entry Level,Full Time,Research Analyst,60000,USD,60000,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,248000,USD,248000,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,201400,USD,201400,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,118600,USD,118600,US,0,US,Medium
2023,Senior Level,Full Time,Data Modeler,130000,USD,130000,US,100,US,Large
2023,Senior Level,Full Time,Data Architect,107500,USD,107500,CA,100,CA,Medium
2024,Senior Level,Full Time,Data Engineer,103000,USD,103000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,94000,USD,94000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,166000,USD,166000,US,100,US,Medium
2024,Mid Level,Full Time,Data Analyst,83552,USD,83552,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,173000,USD,173000,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,88854,USD,88854,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,193200,USD,193200,US,0,US,Medium
2023,Entry Level,Full Time,Business Intelligence Analyst,40000,GBP,49216,GB,0,GB,Medium
2024,Senior Level,Full Time,Data Scientist,145000,USD,145000,US,0,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,108000,USD,108000,CA,100,CA,Medium
2023,Senior Level,Full Time,Data Scientist,106200,USD,106200,AU,0,AU,Medium
2021,Senior Level,Full Time,Head Of Data,87000,EUR,102839,SI,100,SI,Large
2024,Senior Level,Full Time,Analytics Engineer,132100,USD,132100,US,100,US,Medium
2022,Senior Level,Full Time,Data Architect,136000,USD,136000,US,100,US,Medium
2024,Mid Level,Full Time,Research Scientist,195500,USD,195500,US,100,US,Medium
2022,Senior Level,Full Time,Data Scientist,120160,USD,120160,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,204662,USD,204662,US,0,US,Medium
2022,Senior Level,Full Time,Data Management Specialist,65000,EUR,68293,IT,0,IT,Large
2022,Entry Level,Full Time,Data Engineer,135000,USD,135000,US,0,US,Medium
2024,Mid Level,Full Time,Data Product Manager,200000,USD,200000,US,0,US,Medium
2023,Mid Level,Full Time,Data Analyst,120000,USD,120000,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,180500,USD,180500,US,0,US,Medium
2024,Entry Level,Full Time,Research Analyst,79300,USD,79300,US,0,US,Medium
2024,Senior Level,Full Time,Data Analyst,134500,USD,134500,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,151800,USD,151800,US,100,US,Medium
2024,Senior Level,Full Time,Analytics Engineer,130000,USD,130000,US,100,US,Medium
2023,Mid Level,Full Time,Data Specialist,90000,USD,90000,US,0,US,Medium
2024,Mid Level,Full Time,Data Analyst,55000,USD,55000,US,100,US,Medium
2024,Senior Level,Full Time,Data Science,145400,USD,145400,US,0,US,Medium
2024,Senior Level,Full Time,Data Science,106605,USD,106605,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,218185,USD,218185,US,100,US,Medium
2021,Senior Level,Full Time,Data Engineer,65000,EUR,76833,RO,50,GB,Small
2023,Entry Level,Full Time,Data Analyst,44000,GBP,54137,GB,0,GB,Medium
2024,Mid Level,Part Time,Research Scientist,86000,USD,86000,US,0,US,Medium
2023,Mid Level,Full Time,Research Scientist,252990,USD,252990,US,100,US,Medium
2023,Senior Level,Full Time,Nlp Engineer,69500,EUR,75038,ES,100,ES,Medium
2023,Executive,Full Time,Machine Learning Engineer,145000,USD,145000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,273500,USD,273500,US,0,US,Medium
2022,Senior Level,Full Time,Data Scientist,170000,USD,170000,US,100,US,Medium
2024,Mid Level,Full Time,Data Analytics Consultant,57500,USD,57500,US,100,US,Medium
2023,Mid Level,Full Time,Bi Developer,76300,USD,76300,US,0,US,Medium
2022,Mid Level,Full Time,Data Engineer,60000,GBP,73880,GB,0,GB,Medium
2023,Mid Level,Full Time,Machine Learning Scientist,230000,USD,230000,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,106605,USD,106605,US,0,US,Medium
2023,Entry Level,Full Time,Research Engineer,73000,USD,73000,US,0,US,Medium
2024,Mid Level,Full Time,Machine Learning Developer,125000,USD,125000,CA,0,CA,Medium
2023,Senior Level,Full Time,Computer Vision Engineer,280000,USD,280000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,177000,USD,177000,US,100,US,Medium
2024,Mid Level,Full Time,Business Intelligence Developer,77826,USD,77826,US,100,US,Medium
2023,Senior Level,Full Time,Data Engineer,232200,USD,232200,US,100,US,Medium
2024,Mid Level,Full Time,Data Engineer,81500,USD,81500,US,0,US,Medium
2023,Senior Level,Full Time,Business Intelligence Engineer,138900,USD,138900,US,100,US,Medium
2023,Senior Level,Full Time,Data Science Engineer,100000,USD,100000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,68400,USD,68400,US,0,US,Medium
2023,Entry Level,Full Time,Research Scientist,100000,USD,100000,US,0,US,Medium
2024,Mid Level,Full Time,Analytics Engineer,117400,USD,117400,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,237000,USD,237000,US,100,US,Medium
2023,Senior Level,Full Time,Data Analyst,146190,USD,146190,US,0,US,Medium
2023,Mid Level,Full Time,Machine Learning Engineer,45000,EUR,48585,IT,100,GB,Medium
2024,Mid Level,Full Time,Research Scientist,160000,USD,160000,US,100,US,Medium
2024,Mid Level,Full Time,Research Scientist,138000,USD,138000,US,0,US,Medium
2024,Mid Level,Full Time,Analytics Engineer,97400,USD,97400,US,0,US,Medium
2022,Senior Level,Full Time,Machine Learning Engineer,160000,USD,160000,US,100,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,245000,USD,245000,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,135920,USD,135920,US,100,US,Medium
2024,Mid Level,Full Time,Data Analyst,106000,USD,106000,US,0,US,Medium
2023,Executive,Full Time,Data Engineer,200000,USD,200000,US,100,US,Medium
2024,Senior Level,Full Time,Data Analyst,128800,USD,128800,US,0,US,Medium
2021,Entry Level,Full Time,Data Analyst,80000,USD,80000,US,100,US,Medium
2023,Entry Level,Full Time,Research Engineer,150000,USD,150000,US,0,US,Medium
2024,Mid Level,Full Time,Data Science,95000,USD,95000,US,0,US,Medium
2024,Senior Level,Full Time,Ml Engineer,190000,USD,190000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,146800,USD,146800,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,204500,USD,204500,US,100,US,Medium
2023,Entry Level,Full Time,Data Engineer,75000,GBP,92280,GB,0,GB,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,90000,USD,90000,CO,0,CO,Medium
2024,Senior Level,Full Time,Data Scientist,70000,GBP,87500,GB,0,GB,Medium
2023,Senior Level,Full Time,Data Engineer,141000,USD,141000,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,200000,USD,200000,US,0,US,Medium
2023,Mid Level,Full Time,Data Engineer,210500,USD,210500,US,0,US,Medium
2024,Entry Level,Full Time,Data Analyst,70000,USD,70000,CA,0,CA,Medium
2024,Senior Level,Full Time,Data Engineer,165000,USD,165000,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Infrastructure Engineer,152000,USD,152000,US,100,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,153090,USD,153090,US,0,US,Medium
2021,Mid Level,Full Time,Data Scientist,82500,USD,82500,US,100,US,Small
2023,Senior Level,Full Time,Data Engineer,158000,USD,158000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,218000,USD,218000,US,100,US,Medium
2023,Executive,Full Time,Data Manager,75000,USD,75000,US,0,US,Medium
2024,Mid Level,Full Time,Data Engineer,84000,USD,84000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,55000,USD,55000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,159000,USD,159000,US,100,US,Medium
2023,Senior Level,Full Time,Business Intelligence Developer,120000,USD,120000,US,100,US,Medium
2024,Senior Level,Full Time,Data Architect,276000,USD,276000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,132500,USD,132500,US,100,US,Medium
2024,Senior Level,Full Time,Data Product Manager,220000,USD,220000,GB,0,GB,Medium
2023,Senior Level,Full Time,Business Intelligence Analyst,189000,USD,189000,US,100,US,Medium
2022,Senior Level,Full Time,Data Engineer,154000,USD,154000,US,100,US,Medium
2022,Entry Level,Full Time,Machine Learning Engineer,83000,USD,83000,US,0,US,Large
2024,Mid Level,Full Time,Data Scientist,159550,USD,159550,US,0,US,Medium
2023,Senior Level,Full Time,Data Analytics Lead,84000,USD,84000,US,0,US,Medium
2022,Mid Level,Full Time,Data Scientist,78000,USD,78000,US,100,US,Medium
2023,Senior Level,Full Time,Data Manager,112000,USD,112000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,97335,USD,97335,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,106020,USD,106020,US,0,US,Medium
2023,Senior Level,Full Time,Machine Learning Engineer,197802,USD,197802,US,100,US,Medium
2024,Entry Level,Full Time,Machine Learning Engineer,187500,USD,187500,US,0,US,Medium
2022,Mid Level,Full Time,Data Scientist,145000,USD,145000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,154600,USD,154600,US,0,US,Medium
2024,Mid Level,Full Time,Analytics Engineer,153000,USD,153000,US,0,US,Medium
2024,Senior Level,Full Time,Data Architect,100000,USD,100000,US,0,US,Medium
2024,Mid Level,Full Time,Data Infrastructure Engineer,385000,USD,385000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,185000,USD,185000,US,0,US,Medium
2023,Senior Level,Full Time,Nlp Engineer,57000,EUR,61541,IT,100,IT,Medium
2023,Mid Level,Full Time,Decision Scientist,142200,USD,142200,US,0,US,Medium
2023,Senior Level,Full Time,Research Analyst,44272,EUR,47799,IT,100,IT,Medium
2024,Senior Level,Full Time,Data Analyst,155000,USD,155000,US,0,US,Medium
2023,Mid Level,Full Time,Decision Scientist,204500,USD,204500,US,0,US,Medium
2024,Senior Level,Full Time,Research Engineer,54395,GBP,67993,ZA,0,ZA,Medium
2024,Mid Level,Full Time,Prompt Engineer,240960,USD,240960,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,110000,USD,110000,US,0,US,Medium
2022,Senior Level,Full Time,Data Science Manager,137141,USD,137141,US,100,US,Medium
2024,Senior Level,Full Time,Business Intelligence,192500,USD,192500,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,124500,USD,124500,US,0,US,Medium
2023,Mid Level,Full Time,Research Scientist,210000,USD,210000,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,131000,USD,131000,US,0,US,Medium
2024,Senior Level,Full Time,Data Engineer,116600,USD,116600,US,100,US,Medium
2022,Mid Level,Full Time,Data Engineer,161000,USD,161000,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,145360,USD,145360,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,175000,USD,175000,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,168600,USD,168600,US,100,US,Medium
2024,Entry Level,Full Time,Data Analyst,26800,GBP,33500,GB,0,GB,Medium
2024,Senior Level,Full Time,Analytics Engineer,225000,USD,225000,US,0,US,Medium
2022,Senior Level,Full Time,Data Operations Analyst,81000,USD,81000,US,100,US,Medium
2023,Entry Level,Full Time,Data Analyst,150000,USD,150000,US,0,US,Medium
2023,Senior Level,Full Time,Data Analyst,92000,USD,92000,CA,0,CA,Medium
2020,Entry Level,Full Time,Data Scientist,43200,EUR,49268,DE,0,DE,Small
2023,Senior Level,Full Time,Data Scientist,201450,USD,201450,US,100,US,Medium
2024,Mid Level,Full Time,Data Modeler,114000,USD,114000,CA,0,CA,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,181000,USD,181000,US,0,US,Medium
2022,Senior Level,Full Time,Data Architect,90700,USD,90700,CA,100,CA,Medium
2024,Mid Level,Full Time,Data Analyst,73100,USD,73100,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,119000,USD,119000,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,165000,USD,165000,AU,0,AU,Medium
2024,Senior Level,Full Time,Data Analytics Lead,398900,USD,398900,US,0,US,Medium
2024,Senior Level,Full Time,Data Manager,104800,USD,104800,US,100,US,Medium
2023,Mid Level,Full Time,Data Analyst,55000,EUR,59382,DE,50,DE,Large
2023,Entry Level,Full Time,Data Scientist,119200,USD,119200,US,100,US,Medium
2022,Senior Level,Full Time,Data Engineer,50000,USD,50000,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,74100,USD,74100,US,0,US,Medium
2024,Mid Level,Full Time,Data Scientist,98700,USD,98700,US,100,US,Medium
2023,Senior Level,Full Time,Data Analyst,81800,USD,81800,GB,0,GB,Medium
2023,Senior Level,Full Time,Data Strategist,119636,USD,119636,US,100,US,Medium
2024,Senior Level,Full Time,Machine Learning Scientist,175000,USD,175000,US,0,US,Medium
2022,Executive,Full Time,Data Engineer,242000,USD,242000,US,100,US,Medium
2024,Senior Level,Full Time,Data Scientist,204200,USD,204200,US,0,US,Medium
2023,Mid Level,Full Time,Data Engineer,97000,USD,97000,US,0,US,Medium
2023,Mid Level,Full Time,Data Manager,60000,GBP,73824,GB,0,GB,Medium
2023,Senior Level,Full Time,Data Analyst,139600,USD,139600,US,0,US,Medium
2024,Mid Level,Full Time,Data Science,56000,EUR,62222,FI,0,FI,Medium
2024,Mid Level,Full Time,Research Scientist,150000,USD,150000,US,0,US,Medium
2023,Senior Level,Full Time,Data Architect,90000,USD,90000,US,100,US,Medium
2024,Mid Level,Full Time,Data Engineer,140000,USD,140000,CA,0,CA,Medium
2023,Entry Level,Full Time,Data Integration Specialist,63750,USD,63750,US,100,US,Medium
2024,Senior Level,Full Time,Data Engineer,169200,USD,169200,US,0,US,Medium
2024,Senior Level,Full Time,Data Scientist,168000,USD,168000,US,0,US,Medium
2023,Mid Level,Full Time,Applied Data Scientist,1700000,INR,20673,IN,100,IN,Large
2023,Senior Level,Full Time,Data Engineer,109528,USD,109528,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,233840,USD,233840,US,0,US,Medium
2023,Mid Level,Full Time,Machine Learning Engineer,120000,USD,120000,US,0,US,Small
2023,Senior Level,Full Time,Data Engineer,124935,USD,124935,US,0,US,Medium
2023,Entry Level,Full Time,Bi Developer,57000,USD,57000,US,0,US,Medium
2023,Senior Level,Full Time,Data Scientist,161900,USD,161900,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,146850,USD,146850,US,0,US,Medium
2024,Senior Level,Full Time,Machine Learning Engineer,135200,USD,135200,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,106800,USD,106800,US,100,US,Medium
2024,Senior Level,Full Time,Data Management Specialist,116500,USD,116500,US,0,US,Medium
2023,Senior Level,Full Time,Data Engineer,116000,USD,116000,US,100,US,Medium
2022,Senior Level,Full Time,Data Scientist,165000,USD,165000,US,100,US,Medium
2024,Senior Level,Full Time,Data Science,70000,USD,70000,US,0,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,140000,USD,140000,US,100,US,Medium
2023,Mid Level,Full Time,Data Scientist,65000,GBP,79976,GB,0,GB,Medium
2023,Entry Level,Full Time,Ai Programmer,70000,USD,70000,IN,0,AU,Large
2024,Mid Level,Full Time,Business Intelligence Developer,70650,USD,70650,US,0,US,Medium
2023,Senior Level,Full Time,Analytics Engineer,142400,USD,142400,US,0,US,Medium
